Image,X,Y
p000515.jpg,85191.071,446858.912
p000516.jpg,85191.519,446858.175
p000517.jpg,85192.273,446857.694
p000518.jpg,85193.157,446857.486
p000519.jpg,85194.177,446857.718
p000520.jpg,85195.018,446858.300
p000521.jpg,85195.681,446859.099
p000522.jpg,85195.829,446859.947
p000523.jpg,85195.215,446860.830
p000524.jpg,85194.346,446861.403
p000525.jpg,85193.530,446861.840
p000526.jpg,85192.982,446862.272
p000527.jpg,85193.156,446862.589
p000528.jpg,85193.563,446862.045
p000529.jpg,85194.390,446861.466
p000530.jpg,85195.428,446861.149
p000531.jpg,85196.573,446860.829
p000532.jpg,85197.708,446860.409
p000533.jpg,85198.706,446859.865
p000534.jpg,85199.618,446859.229
p000535.jpg,85200.571,446858.798
p000536.jpg,85201.599,446858.890
p000537.jpg,85202.510,446859.483
p000538.jpg,85203.290,446860.339
p000539.jpg,85204.032,446861.180
p000540.jpg,85204.734,446862.092
p000541.jpg,85205.539,446862.991
p000542.jpg,85206.319,446863.860
p000543.jpg,85207.084,446864.829
p000544.jpg,85207.877,446865.782
p000545.jpg,85208.602,446866.683
p000546.jpg,85209.531,446867.639
p000547.jpg,85210.315,446868.566
p000548.jpg,85211.107,446869.518
p000549.jpg,85211.949,446870.549
p000550.jpg,85212.732,446871.534
p000551.jpg,85213.597,446872.500
p000552.jpg,85214.373,446873.443
p000553.jpg,85215.158,446874.358
p000554.jpg,85215.961,446875.271
p000555.jpg,85216.759,446876.258
p000556.jpg,85217.545,446877.166
p000557.jpg,85218.361,446878.116
p000558.jpg,85219.153,446878.988
p000559.jpg,85219.923,446879.885
p000560.jpg,85220.651,446880.801
p000561.jpg,85221.518,446881.739
p000562.jpg,85222.319,446882.614
p000563.jpg,85223.105,446883.497
p000564.jpg,85223.558,446884.424
p000565.jpg,85223.423,446885.396
p000566.jpg,85222.675,446886.149
p000567.jpg,85221.756,446886.817
p000568.jpg,85220.725,446887.584
p000569.jpg,85219.743,446888.359
p000570.jpg,85218.805,446889.060
p000571.jpg,85217.854,446889.813
p000572.jpg,85216.884,446890.652
p000573.jpg,85215.905,446891.635
p000574.jpg,85214.877,446892.441
p000575.jpg,85213.769,446893.084
p000576.jpg,85212.620,446893.550
p000577.jpg,85211.747,446893.522
p000578.jpg,85211.454,446893.392
