ID,x,y
972,36.9,-34.193
973,53.411,-49.386
974,54.577,-50.463
975,65.672,-60.704
976,59.794,-55.232
977,44.716,-41.347
978,36.678,-33.971
979,44.885,-41.485
980,47.261,-43.668
981,66.648,-61.548
982,44.519,-41.199
983,50.513,-42.484
984,67.082,-62.089
985,65.002,-60.174
986,40.796,-40.881
987,58.433,-54.009
988,54.078,-50.032
989,49.829,-41.89
990,34.767,-32.18
991,40.752,-40.989
992,61.605,-56.94
993,49.7,-41.681
994,65.849,-60.946
995,49.555,-41.567
996,55.579,-51.381
997,49.884,-46.115
998,44.312,-40.992
999,34.115,-32.042
1000,58.11,-53.659
1001,63.222,-58.394
1002,49.305,-41.333
1003,44.128,-40.87
1004,46.367,-42.9
1005,71.09,-63.913
1006,49.053,-41.093
1007,44.51,-36.926
1008,65.438,-60.449
1009,48.901,-40.975
1010,56.869,-52.629
1011,43.989,-40.741
1012,57.96,-53.542
1013,63.087,-58.204
1014,54.785,-50.595
1015,52.837,-48.841
1016,43.771,-40.536
1017,66.922,-61.974
1018,58.29,-53.902
1019,48.427,-40.601
1020,48.482,-40.654
1021,59.696,-51.073
1022,48.639,-40.727
1023,48.169,-40.293
1024,44.345,-36.78
1025,48.02,-40.162
1026,47.977,-40.114
1027,61.054,-56.385
1028,59.11,-54.663
1029,61.151,-56.507
1030,61.971,-57.281
1031,54.429,-45.943
1032,60.046,-55.404
1033,55.429,-51.183
1034,50.938,-42.825
1035,40.951,-38.354
1036,47.904,-39.91
1037,60.172,-55.691
1038,64.848,-60.031
1039,43.657,-40.452
1040,44.129,-36.566
1041,62.991,-54.181
1042,59.355,-50.578
1043,58.947,-50.196
1044,65.262,-56.334
1045,68.85,-59.418
1046,62.97,-54.33
1047,58.422,-49.787
1048,57.985,-49.38
1049,54.597,-46.192
1050,48.084,-39.691
1051,63.698,-54.651
1052,58.768,-50.102
1053,58.328,-49.696
1054,57.866,-49.271
1055,47.774,-39.578
1056,46.982,-38.864
1057,47.068,-38.827
1058,46.719,-38.62
1059,38.847,-31.532
1060,32.53,-40.655
1061,32.514,-40.678
1062,33.33,-41.356
1063,32.868,-41.599
1064,33.329,-41.857
1065,32.7,-41.741
1066,32.681,-41.843
1067,33.704,-42.205
1068,33.876,-42.344
1069,31.202,-39.981
1070,34.299,-42.384
1071,34.315,-42.385
1072,34.296,-42.391
1073,30.001,-38.523
1074,29.994,-38.479
1075,30.337,-38.725
1076,30.412,-38.81
1077,30.662,-39.024
1078,30.782,-39.086
1079,30.722,-39.415
1080,30.626,-39.514
1081,33.361,-41.364
1082,34.629,-42.677
1083,34.665,-42.72
1084,29.341,-35.513
1085,29.267,-35.941
1086,29.242,-35.701
1087,28.982,-36.269
1088,28.986,-36.029
1089,28.886,-36.144
1090,28.715,-36.447
1091,28.406,-36.674
1092,28.821,-36.596
1093,28.551,-36.491
1094,28.821,-36.973
1095,28.561,-37.258
1096,28.881,-37.108
1097,28.204,-37.589
1098,28.479,-37.344
1099,28.385,-37.431
1100,28.259,-37.728
1101,28.29,-37.82
1102,28.836,-37.723
1103,29.068,-37.914
1104,29.231,-38.074
1105,31.633,-40.283
1106,35.032,-43.056
1107,34.966,-43.007
1108,35.048,-43.078
1109,35.401,-43.389
1110,35.338,-43.334
1111,35.229,-43.621
1112,35.551,-43.942
1113,41.581,-38.941
1114,35.593,-43.965
1115,35.968,-44.314
1116,40.934,-38.356
1117,41.281,-38.671
1118,40.585,-38.026
1119,40.352,-37.87
1120,39.543,-37.08
1121,39.939,-37.437
1122,36.612,-44.204
1123,35.943,-44.994
1124,39.879,-37.389
1125,37.037,-44.53
1126,36.785,-44.309
1127,36.307,-44.589
1128,35.967,-44.956
1129,38.804,-36.402
1130,38.329,-43.477
1131,37.79,-44.146
1132,38.116,-43.714
1133,37.556,-44.403
1134,37.038,-44.908
1135,37.337,-44.53
1136,36.924,-44.482
1137,36.59,-44.232
1138,35.024,-33.007
1139,35.559,-33.418
1140,36.42,-34.205
1141,37.999,-35.66
1142,38.489,-36.111
1143,38.881,-36.478
1144,39.539,-42.187
1145,39.192,-42.566
1146,38.817,-42.945
1147,39.027,-42.745
1148,38.54,-43.236
1149,38.303,-43.503
1150,37.933,-43.919
1151,37.736,-44.206
1152,29.7,-35.512
1153,29.553,-35.424
1154,29.728,-35.253
1155,29.908,-35.053
1156,30.185,-34.975
1157,30.289,-34.637
1158,30.501,-34.406
1159,30.604,-34.342
1160,30.81,-34.077
1161,30.796,-34.108
1162,31.142,-33.707
1163,31.291,-33.569
1164,31.499,-33.329
1165,31.591,-33.246
1166,31.836,-32.952
1167,32.176,-32.607
1168,32.374,-32.391
1169,32.695,-32.036
1170,32.688,-32.064
1171,32.86,-31.856
1172,33.276,-31.4
1173,35.169,-33.059
1174,33.297,-31.391
1175,36.33,-34.106
1176,40.194,-41.464
1177,39.841,-41.839
1178,39.649,-42.065
1179,39.332,-42.4
1180,39.004,-42.754
1181,38.661,-43.105
1182,38.543,-43.226
1183,38.151,-43.665
1184,37.452,-44.502
1185,33.877,-31.86
1186,34.175,-32.124
1187,37.727,-35.403
1188,40.327,-41.352
1189,39.974,-41.717
1190,39.69,-42.021
1191,39.377,-42.347
1192,40.684,-40.937
1193,40.369,-41.286
1194,41.644,-39.029
1195,41.033,-40.574
1196,41.046,-40.567
1197,39.177,-36.741
1198,35.753,-33.581
1199,33.745,-31.723
1200,34.662,-32.568
1201,31.121,-39.805
1202,41.37,-40.199
1203,41.587,-40.011
1204,41.386,-40.164
1205,41.774,-39.824
1206,41.322,-38.823
1207,35.585,-33.44
1208,29.836,-38.246
1209,41.864,-39.731
1210,29.758,-38.227
1211,32.98,-31.769
1212,32.222,-32.597
1213,33.792,-31.768
1214,42.015,-39.573
1215,33.315,-41.378
1216,36.369,-44.67
1217,39.235,-36.832
1218,33.954,-42.791
1219,33.95,-42.781
1220,33.928,-42.803
1221,32.841,-40.891
1222,37.887,-35.591
1223,32.09,-40.309
1224,32.093,-40.305
1225,32.098,-40.299
1226,28.38,-36.768
1227,31.7,-40.685
1228,31.681,-40.707
1229,31.577,-40.971
1230,33.271,-31.453
1231,32.792,-40.978
1232,47.211,-38.731
1233,50.034,-42.071
1234,48.189,-39.623
1235,68.038,-58.866
1236,68.439,-58.973
1237,65.942,-56.613
1238,60.692,-51.867
1239,68.464,-59.052
1240,65.292,-56.419
1241,62.972,-54.258
1242,59.779,-51.061
